It's empty.	空空如也。
He's fascinated by that pamphlet!	他完全被那本小冊子迷住了！
He has a deadly glint in his eyes.	他眼中閃著要命的光。
There's not even a magazine to read in the seatback pocket in front of you; nothing but a slightly crumpled airsick bag.	你前方椅背置物袋裡連本雜誌都沒有，只有一個皺巴巴的嘔吐袋。
Boy, are these the cheap seats!	天啊，這根本是廉價艙等座位嘛！
"I'm sorry, sir," responds the stewardess, "you must return to your seat before I can serve you."	「先生，很抱歉，」空姐回答，「您得先回座位，我才能為您服務。」
You'd rather not. Besides, the only person he wants to hear is himself!	你可不想聽。反正他只想聽自己講話！
Instantly intrigued by the fascinating treatise, Ken finally leaves you alone.	肯瞬間被那篇「精彩論文」吸引住，終於不再煩你了。
The question is: have those stewardesses finished serving drinks?	問題是：空姐們送完飲料了嗎？
You slowly slip your hand inside the slightly sticky seatback pocket and slide out the semi-soiled airsick bag.	你慢慢把手伸進有點黏黏的椅背置物袋，抽出那個半髒的嘔吐袋。
(If you didn't need it before, you need it now!)	（就算你之前不需要，現在也用得上了！）
Well. Things are slightly closer back here!	嗯，這裡的空間可真是「親密」呢！
"No way!" you think to yourself. "I can't possibly fit into such a skinny place."	「不會吧！」你心想，「我怎麼可能塞進這麼窄的地方。」
"Well, here goes..."	「好吧，來吧……」
Whew!	呼～
"Good afternoon, ladies uh, er, gentlemen," says the cute stewardess. "I'd like to welcome you aboard Flight 1."	「午安，各位女士……呃，先生們，」可愛的空姐說，「歡迎搭乘第一號班機。」
"In the unlikely event of a water landing, there's no need to panic--because we'll all be dead anyway!" she laughs.	「萬一發生水上迫降，請不用驚慌——因為反正我們都會死！」她笑著說。
"Now don't get upset, that's just a little airline humor!"	「別緊張，這只是航空公司的小幽默啦！」
"Oh, and if during our flight those cute little yellow masks happen to drop down from their overhead compartments... why, just ignore them. Lately, those practical jokers in maintenance have been substituting nitrous oxide for the oxygen again!"	「對了，如果飛行途中那些可愛的小黃面罩從上方艙門掉下來……別理它們就好。最近維修部那些愛惡作劇的傢伙又把氧氣換成笑氣了！」
"And remember: in case of an emergency, we women get to leave first!"	「還有記住：緊急狀況時，我們女士優先離開！」
"Are there any questions?" she asks, while leaving.	「有什麼問題嗎？」她邊走邊問。
A voice crackles through the loudspeakers, "Please fasten your seatbelt and move your seatback and tray table to their fully upright and locked positions. We have just been cleared for takeoff."	擴音器傳來沙沙的聲音：「請繫好安全帶，將椅背和餐桌收回並鎖定至直立位置。我們剛獲准起飛。」
The captain's voice returns, "We have reached our cruising altitude..."	機長的聲音再度傳來：「我們已到達巡航高度……」
(Pretty fast takeoff, wasn't it?)	（起飛也太快了吧？）
"...of 500 feet!"	「……五百英呎！」
"Passengers in our rear smoking compartment may smoke 'em if you gottem."	「後艙吸菸區的乘客，有菸就抽吧。」
"We hope you enjoy your flight. Our ETA is approximately ten minutes. Your lovely stewardesses will be serving drinks shortly. (But that's just because we couldn't hire any taller stewardesses!)"	「希望您享受這趟飛行。預計十分鐘後抵達。可愛的空姐們稍後會為您送上飲料。（那是因為我們請不到比較高的空姐啦！）」
The man sitting next to you responds to the captain's lame quip with a hearty, "Har, har, har!"	坐你旁邊的男人對機長那句冷笑話報以豪邁的「哈！哈！哈！」
The airplane's PA system again crackles to life, "Ladies and gentlemen, we are starting our final descent at this time."	機艙廣播系統又沙沙作響：「各位女士先生，我們現在開始最後下降。」
"Ok, we've landed!"	「好了，我們降落了！」
(That was even faster than the takeoff!)	（這比起飛還快！）
"On behalf of the entire crew of Flight #1, we'd like to welcome you to Calwa where the local time is up!"	「謹代表第一號班機全體機組人員，歡迎各位蒞臨卡瓦——當地時間，到了！」
"Please remain in your seats, we have some members of the local police force coming aboard to check for contraband."	「請留在座位上，當地警方人員即將登機檢查違禁品。」
Something makes you believe these two are no "local police."	你直覺這兩人根本不是什麼「當地警察」。
There must be some way you could escape from this airplane before it lands!	一定有辦法能在飛機降落前逃離這裡！
"Ah, ha! Ve ghot you again, monkey breath!" shouts the KGB agent.	「啊哈！又抓到你了，臭猴子！」KGB探員大吼。
"Hang on, Larry. Here we go again!!"	「撐住，賴瑞，我們又來了！！」
"Drinks? Drinks, anyone?"	「要飲料嗎？有人要飲料嗎？」
"Hey," says the man beside you, in his too-loud voice, "I remember you: you're that guy from Lefty's Bar! I haven't seen you in a long time."	「嘿，」你旁邊的男人用他過大的嗓門說，「我記得你！你是左撇子酒吧那傢伙！好久不見了。」
"Let me tell you this new joke I heard..."	「讓我跟你講個剛聽到的新笑話……」
"No way," you respond, "no jokes! All you ever told me was punch lines!"	「不要，」你回答，「別說笑話了！你每次都只講笑點，鋪陳都沒有！」
Once again, the bore attempts to strike up a conversation.	這個無聊鬼又想找你搭話了。
"Say, I don't believe we've ever met. My name is Ken; what's yours?"	「對了，我們好像沒見過面。我叫肯，你呢？」
"Well, Larry, what kind of work are you in?"	「那麼，賴瑞，你是做哪一行的？」
"I'm not," you reply, "I'm recently incredibly rich."	「我沒工作，」你回答，「我最近超級有錢。」
"Oh."	「喔。」
(Well, that's one way to stifle him, Larry!)	（嗯，賴瑞，這招堵他嘴倒是挺有效！）
"Say, Larry, I'm expecting to be wealthy soon myself," he continues. "Yep, just bought into a big, national franchise. Pretty soon I'll be rolling in it!"	「對了，賴瑞，我自己也快要發財了，」他接著說，「沒錯，我剛加盟了一個全國連鎖大品牌，很快就會財源滾滾啦！」
Define "it," you think to yourself!	「發財」到底是指哪方面啊？你心想！
"'Great market opportunity,' this guy told me. 'Can't miss deal,' he said. 'Always a steady stream of new customers,' he says."	「『大好市場機會，』這傢伙跟我說。『穩賺不賠的生意，』他說。『客源源源不絕，』他說。」
"Betcha you'll never guess my new business," he concludes.	「我打賭你猜不到我的新事業是什麼，」他總結道。
"You win."	「你贏了。」
"HAIR TRANSPLANTS!"	「植髮手術！」
"Yep, that's the ticket! You know, transplants are so easy nowadays that anybody can perform 'em," he spouts. "Even a guy like me, with nothing but a correspondence course!"	「沒錯，就是這個！你知道嗎，現在植髮手術簡單到誰都能做，」他滔滔不絕，「連我這種只上過函授課程的人都行！」
You scan the aircraft for empty seats.	你環顧機艙，找尋空位。
You find none!	一個都沒有！
"You know lil' buddy, I'm lookin' to get my first real scalp under my belt right soon now!"	「你知道嗎，小老弟，我很快就要拿下我的第一顆真頭皮啦！」
(Why is this creep staring above your eyes?)	（這變態幹嘛盯著你的髮際線看？）
