Have a nice day.	祝你有美好的一天。
Don't you ever say "%s" to me again!	你再也不准對我說「%s」！
Perhaps you can understand that sentence, but I have graphics to worry about!	或許你聽得懂這句話，但我還得煩惱畫面呢！
The heck you say!	你在鬼扯什麼！
The hell you say!	你在胡說八道什麼！
Amen, brother!	阿們，兄弟！
Go in peace.	平安去吧。
Please don't confuse me with digits! Spell out your numbers in words.	拜託別用數字搞混我！麻煩把數字拼成文字。
You have more money than you can count!	你的錢多到數不清了！
"Here. Take some money," you say in a vain attempt to buy friendship!	「拿去，這是點錢，」你說道，妄想用錢買到友情！
(It doesn't work.)	（沒有用。）
"Want a dollar?" you ask.	「要不要一塊錢？」你問道。
There is no reply.	沒有人回應。
"Hey, have you got change for a million?" you ask.	「嘿，你有一百萬的零錢嗎？」你問道。
(Evidently not.)	（顯然沒有。）
You can't change here!	你不能在這裡換零錢！
You're the only one interested in your passport photo!	對你的護照照片有興趣的，大概只有你自己！
Ok. As you slowly drain the entire 32-gallon contents of your Grotesque Gulp, you begin searching feverishly for a fire hydrant.	好。你慢慢把那杯三十二加侖的「怪誕暢飲」喝個精光，接著開始拚命找消防栓。
Your exploding bladder prevents you from finding one!	你的膀胱快炸了，讓你根本找不到！
You easily give away the hopes of the free world! Way to go, traitor! Next time, you'd better hang on to your onklunk!	你輕易就出賣了自由世界的希望！幹得好啊，叛徒！下次你最好把你的昂克隆看緊點！
You beat your onklunk in a frenzied rendition of an old country classic!	你瘋狂地敲打昂克隆，演奏起一首古老的鄉村經典曲！
(But, which country?)	（不過，是哪一國的鄉村風呢？）
What did you want to put inside your onklunk?	你想把什麼放進你的昂克隆裡？
Ok. You put it in. It fits. You remove it.	好。你把它放進去，剛剛好。你又把它拿出來。
(Pretty much fun, eh?)	（挺好玩的，對吧？）
Hey! We want our R rating for sex, not violence!	嘿！我們是想靠「性」拿到限制級，不是靠「暴力」！
You light the book of matches and watch it go up in flames. Whee!	你點燃整本火柴，看著它燒成一團火焰。哇喔！
On what?	對什麼？
You've had enough problems with your hair. You don't need to wear explosives, too!	你的頭髮已經夠讓你頭大了，可別再戴上炸藥！
Ok. It's gone now.	好。它現在不見了。
Good idea. But this is not the place.	好主意。但這裡不是適合的地方。
Fortunately, you have no matches with which to immolate yourself!	幸好你身上沒有火柴可以拿來自焚！
"If it's a good cruise, it's a Wonder!"	「好郵輪，就是『驚奇號』！」
Pervert!	變態！
"Hand wash only."	「限手洗。」
You only find more money.	你只找到更多錢。
Nice photo, Larry!	照片拍得不錯嘛，賴瑞！
You can't find the microfiche in there.	你在裡面找不到那卷縮影膠片。
(It's a secret and you don't know about it!)	（這是個秘密，而你根本不知道！）
Nothing in the sewing kit is of use to you.	針線包裡沒有東西對你有用。
"Made in Taiwan"	「台灣製造」
"XL"	「XL」
Slosh.	嘩啦。
"You have no rights. (Just ask us!)"	「你沒有任何權利。（問我們就知道！）」
You open the parachute and it spills out everywhere. Since you know nothing about parachute folding, you throw it away.	你打開降落傘，傘布散落一地。你根本不懂怎麼摺降落傘，只好把它丟掉。
"Repent!"	「悔改吧！」
"And send money."	「還有，記得捐錢。」
You look inside the bag and see nothing.	你往袋子裡看，什麼也沒有。
"Goodbye."	「再見。」
"Knock, knock."	「叩叩。」
(Nobody wants to play now, Larry!)	（現在沒人想陪你玩了，賴瑞！）
A warm feeling spreads down your leg. Your suit is not as white as it was!	一股暖流順著你的腿流下。你的西裝已經不像原本那麼白了！
That would be unbecoming a man of leisure.	那樣做，可不符合一位休閒紳士的身分。
Zzzzzz.	呼嚕嚕。
That's against the law!	那是違法的！
(Game over.)	（遊戲結束。）
What do you want to wear?	你想穿什麼？
You'd look better if you didn't!	你不穿反而好看！
You can't wear what is not yours.	不是你的東西，你不能穿。
What do you want to drop?	你想丟下什麼？
Nah. Better not!	不了，還是別這樣吧！
It's not yours to drop.	那不是你的，你不能丟。
What do you want to throw?	你想丟什麼？
That doesn't belong to you.	那不屬於你。
You'll have to buy "King's Quest IV" to do that!	想那樣做，你得去買《國王密使 IV》！
Shh! You're not supposed to know about that.	噓！你不該知道這件事的。
You whistle a happy tune.	你吹起一段愉快的口哨。
(You envision Opie on a dirt road.)	（你腦中浮現歐比在泥土路上的畫面。）
Once you tasted it, you wouldn't do that any more!	你嚐過一次之後，絕對不會再這麼做了！
Searching through your pockets you find...	你翻找口袋，發現……
Aren't your palms hairy enough?	你的手掌毛還不夠多嗎？
Nobody's THAT thirsty!	沒有人渴成那樣的！
That's probably where you'll end up!	你大概最後也會落得那種下場！
Aren't we the little prissy one!	瞧瞧咱們這位小龜毛鬼！
It's not yours.	那不是你的。
You're wearing the latest in fashion.	你穿的可是最新流行款式。
(If you consider 1971 "late")!	（如果你覺得一九七一年也算「最新」的話）！
Oops, wrong game! If you want to see that, you'll have to buy "Lounge Lizards."	哎呀，你找錯遊戲了！想看那個，你得去買《酒吧浪子》。
You see many leaves.	你看到許多樹葉。
Staring at the walls already?	已經在盯著牆壁發呆了？
This game does not encourage voyeurs!	這款遊戲可不鼓勵偷窺癖！
There's nothing worth buying here.	這裡沒有值得買的東西。
You're broke!	你身無分文！
There's no need to use the ticket here.	這裡不需要用到票。
What ticket?	什麼票？
What do you want to use?	你想用什麼？
There's no need to use it here.	這裡不需要用到它。
What do you want to take?	你想拿什麼？
"Hello," you say.	「哈囉，」你說道。
(There is no response.)	（沒有回應。）
She's not interested in that!	她對那個沒興趣！
Well, Larry, you've screwed up again!  What'dya say we do it just one more time?	唉，賴瑞，你又搞砸了！要不要再玩一次？
See your local software dealer or dial (209) 683-6858 from 8-5 Pacific Time. Have your credit card handy.	請洽詢當地軟體經銷商，或於太平洋時間上午8點到下午5點撥打 (209) 683-6858。請準備好您的信用卡。
Remember save early, save often!	記得要早存檔、勤存檔！
 Score: %d of %d%15s Rank: %s%10s	 分數:%d/%d%15s 等級:%s%10s
It is.	是的。
You are.	你是。
You can't do that here; at least, not now.	你在這裡不能這麼做，至少現在不行。
oops	哎呀
This is all the money you have in the world!	這是你在這世上僅有的全部財產了！
