Good idea. This would be a perfect time!	好主意！現在正是時候！
You toss the spinach dip as far over the ocean as you can.	你把菠菜沾醬盡全力扔向大海。
(Which is not really that far.)	（其實也扔不了多遠。）
It's getting smaller!	越變越小了！
This is not what you were expecting from a deluxe cruise!	這可不是你對一趟豪華郵輪之旅的期待！
The lifeboat drill has brought the ship to a standstill. What have you done, Larry?	救生艇演習讓整艘船停了下來。賴瑞，你到底幹了什麼好事？
A siren wails a warning cry, and the lifeboat begins to shake. You made it to the lifeboat in the nick of time!	警報器發出淒厲的鳴叫，救生艇開始搖晃。你千鈞一髮之際趕上了救生艇！
Slowly, you drift away from the cruise ship. You wonder what you forgot to pack.	你緩緩漂離郵輪，心裡納悶自己到底忘了帶什麼。
Exactly how long do you think you can hold your breath?	你覺得自己到底能憋氣多久？
You feel your lungs explode as you think to yourself, "Gee, I wish I could hold my breath longer, or I owned a faster computer!"	你感覺肺快炸開了，心想：「唉，真希望我能憋氣久一點，或是有台快一點的電腦！」
There is a bikini top caught in the pool's drain!	泳池的排水孔卡了一件比基尼上衣！
You can remember when there was a bikini top caught in that drain!	你還記得那個排水孔曾經卡過一件比基尼上衣！
The water is clear enough to see too much of that guy in the inner tube!	水清澈到能把那個泡在游泳圈裡的傢伙看得一清二楚，清楚過頭了！
No way!	不會吧！
Why do you have such a fascination with plumbing?	你怎麼會對水管這麼著迷？
Just move wherever you want to go.	想去哪就直接走過去吧。
Oops.	哎呀。
And as the good ship U.S.S. Love Tub slowly sinks behind the horizon, we rejoin our noble hero in his latest predicament.	當愛之浴缸號緩緩沉入海平線之際，讓我們把鏡頭轉回這位偉大英雄的最新窘境。
Isn't it funny how time flies when you're having fun!	玩得開心時，時間總是過得特別快，真有意思！
During a particularly rough storm, late in your tenth night at sea, your lifeboat crashes on a coral reef and shatters to bits. You grab the largest piece of wood you can, hold on tight and survive the storm. The dawn finds you crashing through an offshore reef, tumbling through the surf to a gorgeous beach.	在你出海第十晚，一場異常猛烈的暴風雨中，你的救生艇撞上珊瑚礁，摔得粉碎。你抓住能找到最大的一塊木板，死命抓緊撐過風暴。天亮時，你正撞過近岸的礁石，在浪花中翻滾著衝上一片美麗的海灘。
Boy, is that sun hot!	哇，這太陽也太毒辣了吧！
It's a good thing you used that sunscreen to block those ultraviolets! The sun out here is hot enough to fry an egg.	幸好你擦了防曬乳擋掉紫外線！這裡的太陽熱到能把蛋煎熟。
You think the sun must be even hotter today!	你覺得今天的太陽一定更毒了！
It's a good thing you wore that silly wig. The sun out here is hot enough to fry your brains.	幸好你戴了那頂蠢假髮。這裡的太陽熱到能把你的腦子給煎熟。
