"Here's to ya," you say to no one in particular.	你對著空氣說：「敬你啦。」
"Ah, ha! I gotcha, you Vicious Devil-Enemy of the People!!" cries the bartender, subtlely revealing himself as a member of the KGB. "How's that for 'extra pineapple,' you sap?"	「哈哈！逮到你了，你這個萬惡的人民公敵！！」酒保喊道，不經意間露了餡，露出他KGB成員的身分。「這杯『特調鳳梨汁』的滋味如何啊，蠢蛋？」
The bartender's mickey has the desired effect upon your central nervous system. You give the KGB no problems during transit to their local headquarters. We'll drop by there, just to see how you and they are getting along...	酒保下的迷藥果然奏效，你被押往KGB當地總部的路上乖得跟什麼似的。我們就順道去看看，你跟他們相處得怎麼樣……
"Hello, studly," says the beautiful blond, "looking for a good time? Want to go to my place, instead of just hanging around here all alone?"	「哈囉，猛男，」美麗的金髮女郎說，「想找點樂子嗎？與其一個人在這杵著，要不要去我家坐坐？」
(Geez, Larry. A real woman! Talking to you!!)	（天啊，賴瑞。一個真正的女人！居然在跟你講話！！）
"Come on, sweetheart, let's go someplace more private!"	「來吧，甜心，我們找個隱密點的地方！」
There are many flashing dials, lights, video display terminals, etc. Mostly, they just confuse you.	這裡有許多閃爍的儀表、燈號、顯示終端機等等。大部分你都看不懂，只覺得眼花撩亂。
The ship's flashing dials and lights reveal nothing, but there is a large switch on the center console, directly behind the Captain.	船上那些閃爍的儀表和燈號看不出什麼名堂，不過中央控制台上有個大開關，就在船長正後方。
There is a large toggle switch labeled "LIFEBOAT TIMER" on the console directly behind the Captain.	船長正後方的控制台上有個大型撥動開關，標示著「救生艇計時器」。
He's intently steering this ship. Don't disturb him.	他正專心開船。別打擾他。
You have the distinct feeling that you should not be messing around on the bridge of a large, ocean-going vessel. So far, the Captain hasn't noticed you.	你有種強烈的預感，覺得自己不該在這艘遠洋大船的駕駛艙裡亂晃。目前為止，船長還沒發現你。
You'd better keep it that way.	你最好保持這樣。
No, better not. You're not supposed to be in here, and as of now, he hasn't seen you. Leave him alone.	不，還是別了。你本來就不該進來這裡，目前他還沒看見你，別去煩他。
Try as you might, you are unable to return the switch to its previous position. It is locked "ON." Once a lifeboat drill begins, there is no turning back!	你使盡吃奶的力氣，還是沒辦法把開關扳回原位。它被鎖死在「開啟」狀態。一旦救生艇演習開始，就再也回不了頭！
Silently, cautiously, so as not to attract the Captain's attention, you move the large toggle switch to the "START" position. A faint ticking sound begins.	你悄悄地、小心翼翼地，深怕引起船長注意，把那個大撥動開關扳到「啟動」位置。隱約傳來滴答滴答的聲音。
Look out, Larry! He's firing a poisoned dart!!	小心，賴瑞！他在發射毒鏢！！
At least he missed you. However, the Captain lies dying on the deck, and the ship is drifting helplessly on the high seas!	至少他沒打中你。可是船長已經倒在甲板上奄奄一息，這艘船正孤零零地在大海上漂流！
Through your ineptitude you've allowed your Captain to be killed by a KGB poisoned dart. Unbeknown to the passengers and crew the ship now charts its own course, a course (of course) that courses straight for the nearest reef.	由於你的無能，船長被KGB的毒鏢給殺害了。乘客和船員渾然不覺，這艘船此刻正自行其道（當然啦），一路直衝最近的暗礁而去。
Perhaps you'll miss the reef and miss the grief; save the ship and save the day; perhaps you'll even escape safely!	或許你能閃過暗礁、躲過災禍；拯救全船、力挽狂瀾；說不定還能全身而退，安全脫身！
Nah, no way!!	不，門都沒有！！
You knew better than that!	你明明知道不該這樣做！
"Hold it right there, buddy!" says the Captain. "No one's allowed on MY bridge without permission!"	「給我站住，小子！」船長喝道。「沒有我的許可，任何人都不准上我的駕駛艙！」
The security guards take you away to the brig, which is located on a deck even lower than your cabin! The conditions there aren't that bad, although seepage does keep the floor covered with oily, slimy water. Unfortunately, during one particularly wet dream, you slide off your bunk and drown in bilge water.	保全人員把你拖去禁閉室，那裡的位置比你的艙房還要低好幾層！環境其實還過得去，雖然滲水讓地板總是覆著一層油膩黏滑的積水。不幸的是，某次做著特別「濕」的春夢時，你從舖位上滑了下去，淹死在艙底污水裡。
You can't see any from here.	你在這裡看不到任何東西。
You love the warm glow of florescent lights.	你很喜歡日光燈那溫暖的光暈。
Don't all barber shops look alike?	理髮廳不是看起來都差不多嗎？
He looks friendly enough.	他看起來人還算和善。
Walk over to the front of the barber's chair and sit down.	走到理髮椅前坐下。
"I'm sorry, Mister," says the barber rudely, "I have no more appointments left today!"	「抱歉，先生，」理髮師沒好氣地說，「我今天已經沒有預約名額了！」
"In fact, I'd appreciate it if you'd leave now before I have to call the Ship Police!"	「而且，麻煩你現在就離開，免得我得叫船上警衛過來！」
"You look much better to me, monsieur!"	「先生，我覺得您現在看起來順眼多了！」
"I have no time for idle conversation," responds the barber. "It's bad enough I have to talk to customers while I cut their hair, I certainly don't want to talk when I'm NOT cutting hair!"	「我沒空閒聊，」理髮師回答。「幫客人剪頭髮時還得應付閒聊已經夠煩了，沒剪頭髮的時候我可不想講話！」
"Good day, Mister," says the barber. "May I help you?"	「日安，先生，」理髮師說。「有什麼能為您效勞的嗎？」
"Is there anything you can do for this hairline of mine," you ask the barber.	「你能幫我這條髮際線做點什麼嗎？」你問理髮師。
"But, of course, Mister," says the barber, "I've got exactly what you need."	「那當然了，先生，」理髮師說，「我這正好有您需要的東西。」
"Just have a seat in the chair, please."	「請坐到椅子上就好。」
"Yes, I have exactly what you need," he tells you. "It's all the rage; the latest thing. You see it everywhere these days. In fact, guys make a lot of money with one of these!"	「沒錯，我這正好有您需要的東西，」他告訴你。「這可是最新流行，現在到處都看得到。事實上，有些男人靠這玩意兒賺了不少錢呢！」
"I call it 'The Jimmy' model, and I'm sure you'll like it just fine!"	「我叫它『吉米』款，我敢保證您一定會喜歡的！」
He places "The Jimmy" carefully on your head.	他小心翼翼地把「吉米」戴到你頭上。
"Impeccable fit!" he cries, "And (for you) the price is right -- only $10,000.00!! But I like to consider it more of an investment than an expense!"	「完美貼合！」他喊道，「而且（特別為您）價格公道──只要一萬美元！！不過我更喜歡把它當作一項投資，而不是花費！」
(10K for a wig?)	（一頂假髮就要一萬塊？）
Oh, what the hell -- it's not like it's your money; why not let those suckers who paid for all those Luck-o Buck-o tickets treat you to a new look!	管他的──反正又不是花你的錢；何不讓那些買樂透彩券的冤大頭，請你換個新造型！
Oh, well, it's not like it's your money; why not let those suckers who paid for all those Luck-o Buck-o tickets treat you to a new look!	唉，反正又不是花你的錢；何不讓那些買樂透彩券的冤大頭，請你換個新造型！
"I'll take it," you tell him, and peel off a hundred hundreds from your rapidly depleting wad.	「我要了，」你告訴他，然後從迅速縮水的鈔票堆裡抽出一百張百元大鈔。
The barber bids you farewell with a sweet, "%s"	理髮師甜甜地跟你道別：「%s」
You catch a good look at yourself in the mirror and slip the wig into your inner jacket pocket. You tell the barber, "Thanks a lot, but I think I'll just save this until my cable channel application is approved!"	你在鏡子裡好好端詳了自己一番，然後把假髮塞進外套內袋。你對理髮師說：「多謝了，不過我想還是等我的有線電視頻道申請通過再戴這個吧！」
Look! The ship has come to a standstill in the water. They must be preparing for the lifeboat drill!	你看！船已經在海面上停下來了。他們一定是在準備救生艇演習！
You'd better not leave this area!	你最好別離開這個區域！
You delve through the lifeboat's contents, but find nothing that will help you through your current predicament.	你翻找救生艇裡的東西，卻找不到任何能幫你脫離目前困境的玩意兒。
You are too far from the lifeboat to examine it carefully. Perhaps you should climb in.	你離救生艇太遠，沒辦法仔細檢查。或許你該爬進去看看。
A good idea.	好主意。
But you find nothing here to help you do that.	但你在這裡找不到任何能幫你做這件事的東西。
While no whitecaps are visible here, the rolling motion of the ship makes you briefly consider throwing something overboard.	雖然這裡看不到什麼白浪，但船身的搖晃讓你一度考慮把什麼東西扔到海裡。
(Where "something" is defined as your lunch!)	（這裡的「什麼東西」指的就是你的午餐！）
It's there to prevent people like you from falling overboard.	它是用來防止像你這種人掉到海裡的。
It is firmly attached to its mooring apparatus by ropes. There is a chain preventing you from falling over the side of the ship.	它靠繩索牢牢固定在繫留架上。有條鐵鍊擋著，防止你摔出船外。
The upper deck of the ship stretches away in all directions. There is a lifeboat hanging around here.	船的上層甲板向四面八方延伸開來。這裡掛著一艘救生艇。
No way! You might fall overboard. You're not coordinated enough to balance on this heaving deck.	想都別想！你可能會摔到海裡去。你的身手還沒好到能在這搖晃的甲板上保持平衡。
Good idea.	好主意。
You crawl under the chain. As you plummet to the water you think to yourself, "Gee, aren't we hundreds of miles from shore?"	你從鐵鍊下鑽了過去。當你墜向海面時，心裡暗想：「天啊，我們不是離岸邊幾百英里遠嗎？」
(Yes!)	（沒錯！）
You rapidly race for the railing and fling yourself over the ship's railing. As you plummet to the water you think to yourself, "Gee, aren't we hundreds of miles from shore?"	你飛快衝向欄杆，縱身翻越船的護欄。當你墜向海面時，心裡暗想：「天啊，我們不是離岸邊幾百英里遠嗎？」
Not dressed like that!	穿成這樣可不行！
You are already in the lifeboat.	你已經在救生艇上了。
Right. You'll never get THAT thing to fold up into your pocket!	得了吧。那種東西你根本不可能折起來塞進口袋！
(Gee. This is exciting.)	（哇。真刺激。）
(Are we having fun yet?)	（我們現在玩得開心嗎？）
The grounds of the resort are covered with elaborate, hand-carved and inlaid patterns, none of which show up on that cheap graphics board and monitor you're using!	度假村的地面鋪滿了精雕細琢、手工鑲嵌的圖案，可惜你用的那台廉價顯示卡和螢幕，一個花紋都顯示不出來！
There is one beautiful flower growing directly under that parrot sitting in the palm tree.	棕櫚樹上那隻鸚鵡棲息的地方正下方，長著一朵美麗的花。
You discover Jim Walls testing "Police Quest II!" Jim! You were supposed to be on vacation!	你發現吉姆·沃爾斯正在測試《警察任務II》！吉姆！你不是應該在度假嗎！
The peacock is beautiful, but of no use to you.	這隻孔雀很漂亮，但對你沒什麼用處。
You hesitate to look up, but grab a quick peek. They are beautiful birds, but unfortunately they cannot tell you how to escape this place!	你猶豫著要不要抬頭看，但還是偷瞄了一眼。牠們是很漂亮的鳥，可惜沒辦法告訴你該怎麼離開這個地方！
LAND SHARK!!	陸鯊出沒！！
