...out, unfortunately!	……很不幸，掉了出來！
The view from this height is spectacular, but wobbly.	這裡的視野棒透了，不過搖搖晃晃的。
The view from this height is spectacular.	這裡的視野真是壯觀。
Again?	又來？
Good idea, Larry!	好主意，賴瑞！
But you aren't wearing a parachute!	可是你根本沒穿降落傘！
You valiently struggle with the balky straps. However even a macho stud like you is incapable of donning a parachute while plummeting through the atmosphere at terminal velocity.	你奮力跟卡住的背帶搏鬥。不過就算你這種硬漢型男，也沒辦法在以終端速度墜落大氣層的同時穿上降落傘。
You don't seem to have one!	你好像沒有半個！
The blessed parachute blossoms above you, jerking you around a lot, a feeling not wholly unfamiliar to you!	神聖的降落傘在你頭頂上綻放開來，把你甩得東倒西歪──這種感覺你倒是不陌生！
How you hope you will NOT land there!	你多希望自己不會降落在那裡！
How you hope you will land there!	你多希望自己能降落在那裡！
It appears to be approaching!	它似乎正在接近！
They appear to be receding!	它們似乎正在遠離！
The view from this height is spectacular, but rather wobbly.	這裡的視野棒透了，不過相當搖晃。
Larry, you must remember the old saying...	賴瑞，你一定要記住那句老話……
"Skydivers are good to the very last drop!"	「跳傘員也是滴滴香醇，意猶未盡！」
"It don't mean a thing, if you don't pull that string!"	「不拉那條繩，一切都白搭！」
Unfortunately, you pulled a little too late to hit that island over there!	很不幸，你拉繩拉得太晚，沒能降落在那座島上！
It's caught in the tree, and you're caught in it!	傘卡在樹上，你也被卡在傘裡了！
Now you're REALLY out on a limb!	這下你可真的是「懸」在樹梢上了！
The ground is far below you, and you're stuck in a parachute you bought from a vending machine!	地面在你腳下老遠，你還被卡在一個從自動販賣機買來的降落傘裡！
"Doobee doobee do."	「嘟比嘟比都。」
You try your best, but the parachute harness' buckles are jammed.	你使出全力，但降落傘背帶的扣環卡死了。
You try, but the parachute harness holds you safely in place.	你試了試，但降落傘背帶把你牢牢固定住。
A good idea...	好主意……
But, with what?	可是，要用什麼？
Struggling to free yourself from the parachute harness, you realize the buckles are hopelessly jammed!	你掙扎著想從降落傘背帶脫身，這才發現扣環徹底卡死，沒救了！
Try as you might, you are unable to fix them, or free yourself.	任憑你怎麼努力，都沒辦法修好扣環，也脫不了身。
