They are presently feasting. Looks like dinner is on you, Larry!	牠們正在享用大餐。看來這頓晚餐的主菜就是你，賴瑞！
Many vines hang down from the jungle canopy overhead.	許多藤蔓從頭頂的叢林樹冠垂下。
One in particular attracts your eye: although it appears sturdy, it has been weakened near its top by excessive swinging!	其中一條特別引人注目：雖然看起來很牢固，但頂端因為被過度盪來盪去而變得脆弱！
The slippery rocks are far too treacherous for you to traverse.	這些濕滑的岩石太危險了，你沒辦法通過。
A quiet brook babbles nearby. Vines hang from the jungle canopy, which thins as it reaches the beach just visible ahead.	附近有條小溪潺潺流過。藤蔓從叢林樹冠垂下，樹冠越往前越稀疏，隱約能看到前方的沙灘。
All the other vines are out of your reach.	其他藤蔓你都搆不到。
You tug as hard as you can, but this vine is securely attached to that big branch above you.	你用盡全力拉扯，但這條藤蔓牢牢固定在頭頂那根大樹枝上。
You reach up, grasp the vine firmly, and give it a sharp jerk, yanking it from the tree branch above you!	你伸手緊緊抓住藤蔓，用力一扯，把它從頭頂的樹枝上扯了下來！
You carefully coil it up and insert it into your left front pants pocket.	你小心翼翼地把它捲好，塞進褲子左前口袋。
Not in that water!	別跳進那片水裡！
The bank is too steep and too slippery here. Keep looking for a spot.	這裡的岸邊太陡又太滑了，繼續找別的地方吧。
The rocks are too slippery and steep for you to climb.	這些岩石又滑又陡，你爬不上去。
You feel a tickling sensation around your toes. Boy, this adventuring life is sure fun!	你感覺腳趾附近癢癢的。哇塞，冒險生活還真是有趣！
This seems a safe place to climb out.	這裡看起來是個安全的上岸地點。
Gee. Those piranha really work fast!	天啊，這些食人魚動作還真快！
For some reason, your heart just isn't in the game any more...	不知道為什麼，你突然沒了興致……
...not to mention several other organs!	……更別提其他好幾個器官了！
Next time, you may want to consider using the next vine as well!	下次你也許該考慮再抓下一條藤蔓！
Next time, you may want to grab that third vine!	下次你也許該抓住第三條藤蔓！
Next time, you may want to release the third vine when you believe your trajectory will carry you safely over land!	下次你也許該在確定自己的軌跡能安全落到陸地上時，再放開第三條藤蔓！
(You knew all along you were a swinger!)	（你早就知道自己是個盪來盪去的「玩咖」！）
You have no desire to return to the ocean after all you went through on that lifeboat, Larry!	賴瑞，你在那艘救生艇上吃了那麼多苦頭，才不想再回到海裡呢！
The spectacular lagoon is crystal clear.	這片壯麗的潟湖清澈見底。
Too bad you didn't bring that swimming suit!	可惜你沒帶泳裝來！
In the distance you see the island's volcano ringed by a glacier, not at the top as you'd expect, but near the bottom of some vertical cliffs.	遠方你看見島上的火山被冰河環繞，不是你想像中的山頂，而是在陡峭懸崖底部附近。
But here a beautiful, tropical beach wraps its glorious splendor around a crystalline lagoon. What a wonderful place to vacation!	但這裡，美麗的熱帶沙灘以絢麗的光彩環抱著一泓晶瑩的潟湖。這地方度假真是太棒了！
(You wonder why it isn't covered with lots of cheap motels?!)	（你納悶怎麼這裡沒蓋滿廉價汽車旅館？！）
This sandy beach is beautiful.	這片沙灘美極了。
You bend over and scoop up a large handful of beach sand and put it in your pockets.	你彎下腰，抓了一大把沙灘沙子塞進口袋。
(At last your pants are bulging!)	（你的褲子總算鼓起來了！）
Larry, look! Out in the surf! That beautiful native girl is waving at you, and...	賴瑞，你看！海浪那邊！那個漂亮的原住民女孩正在跟你揮手，而且……
  SHE'S TOPLESS!!  	  她是上空的！！  
"Gee," you think to yourself, "I thought girls like that only existed in 'National Geographic!'"	「天啊，」你心想，「我還以為那種女孩只會出現在《國家地理雜誌》裡！」
It's love at first sight.	一見鍾情。
(And also, second sight!)	（而且第二眼也是！）
You think, "This is the girl I've dreamed of; the woman I've longed for; the moment I've waited for! Is this the love I've been looking for?"	你心想：「這就是我夢寐以求的女孩；我朝思暮想的女人；我等待已久的時刻！這會是我一直在尋找的愛情嗎？」
Well, Larry? Are you just going to stand there? You've finally met the girl of your dreams, now's the time to take some action!	怎麼樣，賴瑞？你要就這樣傻站在那裡嗎？你終於遇見夢中情人了，現在正是採取行動的時候！
You're limp. You've never been kissed like that before! Could it be? Is "Leisure Suit Larry" in love?	你渾身發軟。你從沒被這樣吻過！難道……「休閒西裝賴瑞」戀愛了？
(Again?)	（又來？）
You recover enough to speak, "Ohmigosh, you're beautiful! You're wonderful! Do you understand English? What's your name? Where are you from? Are you busy tonight?"	你好不容易回過神，開口說道：「我的老天，妳好漂亮！妳好棒！妳聽得懂英文嗎？妳叫什麼名字？妳從哪裡來？妳今晚有空嗎？」
"Of course I understand English, you silly; all of us here on Nontoonyt Island do. We live in a small village just off the beach. My name is Kalalau; what's yours?"	「我當然聽得懂英文，你這傻瓜；我們農圖尼特島上的人都會說。我們就住在沙灘旁的小村莊裡。我叫卡拉勞，你呢？」
"Of course; it only stands to reason that such a lovely man would also have such a lovely name," Kalalau's smile beams, melting your heart. "But, as to your question concerning my availability tonight, I am afraid I have disappointing information for you: as enjoyable as I feel sure an evening with someone like you must be, customs here on the island forbid pre-marital dating. On Nontoonyt Island, all women save themselves for marriage."	「當然啦；這麼可愛的男人配上這麼可愛的名字，也是理所當然的，」卡拉勞嫣然一笑，讓你心都融化了。「不過，說到你問我今晚有沒有空這件事，我恐怕有個讓你失望的消息：雖然我相信跟你共度一晚一定很愉快，但島上的習俗禁止婚前約會。在農圖尼特島，所有女人都要守身如玉直到結婚。」
"Well, that's ok," you volunteer, "why don't we just get married instead!"	「喔，那沒關係，」你自告奮勇地說，「不如我們乾脆結婚好了！」
She smiles in agreement, "Wouldn't that be wonderful! But, unfortunately our tribal elders have forbidden any new marriages until our island has been freed from its present scourge. Please permit me to elucidate: recently an abhorrent man took our island from us. He claimed our sacred ancestral burial grounds at the top of our volcano, and refuses to allow us to visit."	她微笑著表示同意：「那該有多美好啊！但很不幸，我們部落的長老們規定，在我們的島從目前的禍害中解放之前，禁止任何新的婚事。請容我說明：最近有個可惡的男人奪走了我們的島。他佔據了我們火山頂端的神聖祖墳，還不准我們前去祭拜。」
She continues, "Soon thereafter, our perpetually blue skies turned to fog. While none of us had ever seen snow or ice, suddenly a glacier appeared on the slopes of the volcano, preventing our passage to our sacred lands. A treacherous river then appeared, gouging a formidable canyon just behind our village. Then (most odious of all) he hypnotized our most beautiful women, enslaving them in his mountaintop fortress, forcing them to do his every whim, no matter how sick or repulsive."	她接著說：「不久之後，我們原本永遠湛藍的天空變成了濃霧。雖然我們從沒見過雪或冰，但火山山坡上卻突然出現了一座冰河，擋住了我們通往聖地的路。接著又出現了一條凶險的河流，在我們村莊後方硬生生鑿出一道巨大的峽谷。然後（最可惡的是）他還催眠了我們最美麗的女子，把她們囚禁在他山頂的堡壘裡，強迫她們做任何事，不管多噁心多變態都得順從他。」
"What a drag!" you sympathize.	「這也太衰了吧！」你同情地說。
"Yes," she agrees, "but now, the worst of all: because of all this, he prevented my people from completing a megabuck deal with a large, multi-national hotel conglomerate who were prepared to turn this place into next year's trendiest tourist trap! We had it bagged: they were going to build a huge, casino/resort/hotel complex right here on this lagoon, provide employment for our lazy men in the growing field of slot-machine repair, and even fund a day-care center so, (even though we women would continue to work our normal, 16-hour days in the taro patches) at least we wouldn't have to carry our children on our backs!"	「對啊，」她附和道，「但現在，最慘的還在後頭：就因為這樣，他搞砸了我們族人跟一家跨國連鎖飯店集團談成的大買賣，他們本來準備把這裡打造成明年最夯的觀光景點！本來都快談成了：他們要在這片潟湖蓋一座超大的賭場度假飯店，讓我們那些懶惰的男人在蒸蒸日上的吃角子老虎維修業裡找到工作，甚至還要出資蓋個托兒所，這樣（雖然我們女人還是照樣每天在芋頭田裡工作十六小時）至少不用再把小孩背在背上了！」
"But did it happen? Hell, NO! And all because of that evil Dr. Nonookee!" she cries, suddenly turning quite sensitive. "Oh, if only some great hero could rid this island of his evilness, we could all live here happily ever after!"	「但這一切有實現嗎？當然沒有！全都是因為那個邪惡的諾努基博士！」她哭喊著，情緒突然變得很激動。「唉，要是有哪個偉大的英雄能替這座島除掉他的邪惡，我們就能從此過著幸福快樂的日子了！」
"But did it happen? Oh my gracious, NO! And all because of that evil Dr. Nonookee!" she cries, suddenly turning quite sensitive. "Oh, if only some great hero could rid this island of his evilness, we could all live here happily ever after!"	「但這一切有實現嗎？我的老天，沒有！全都是因為那個邪惡的諾努基博士！」她哭喊著，情緒突然變得很激動。「唉，要是有哪個偉大的英雄能替這座島除掉他的邪惡，我們就能從此過著幸福快樂的日子了！」
(You're no fool, Larry. That sounds like a cue!)	（賴瑞，你可不是傻子。這聽起來根本是暗示！）
"Say, I've got an idea," you tell her. "What if I stop this guy? Then could we get married?"	「嘿，我有個主意，」你告訴她。「要是我把那傢伙解決掉呢？這樣我們就能結婚了嗎？」
"But, of course. Why didn't I think of that? Why, this is every little girl's fairy tale: a hero comes in a white suit to save my island and its people!"	「當然可以啊。我怎麼沒想到呢？這根本就是每個小女孩夢想中的童話故事：一位穿著白色西裝的英雄前來拯救我的島嶼與人民！」
Sigh.	唉。
"Come on, Larry. Let's go!"	「來吧，賴瑞，我們走！」
"Hey, thanks for the lift, guys! Want to stick around for my wedding?"	「嘿，謝啦，多虧你們送我一程！要不要留下來看我的婚禮？」
"Sure, why not? We'll grab the camcorder and be right there. Watch out for that blade!"	「當然好啊，為什麼不呢？我們去拿攝影機，馬上就到。小心那把刀刃！」
"Hi, Larry; what took you so long?"	「嗨，賴瑞，怎麼去了這麼久？」
"I ran into a little trouble with an artificial glacier!"	「我碰上一座人造冰河，惹了點小麻煩！」
"I did it, Kalalau! I really did it!! Dr. Nonookee is no more, his evil spell is broken, the glacier is melting away, and your women are again free! Once again, peace reigns over this beautiful island! Let's find your father, and get married immediately!"	「我做到了，卡拉勞！我真的做到了！！諾努基博士完蛋了，他的邪惡咒語解除了，冰河正在融化，妳的族人重獲自由了！這座美麗的島嶼再次恢復和平！我們去找妳父親，馬上結婚吧！」
All the doors here are closed. The natives enjoy their privacy. Leave them alone.	這裡的門都關著。當地人很重視隱私，別去打擾他們。
The chief's hut is grand, but only in comparision to the other huts.	酋長的小屋很氣派，不過也只是跟其他小屋比起來而已。
